case_id,text,outcome,dissatisfaction_score,policy_demand_score,coproduction_request_score,dissatisfaction,policy_demand,coproduction_request
1,我已经多次反映小区垃圾分类设施不足，希望政府尽快处理。,1,0.35199684,0.3168381,0.34441823,0.5099842,0.4170952500000001,0.486045575
2,这个政策解释不清楚，居民不知道应该如何申请。,0,0.2845416,0.4056989,0.27212542,0.33635400000000004,0.7784944999999999,0.30531355000000004
3,我们愿意配合街道办开展社区宣传活动。,1,0.25123692,0.29646832,0.46974444,0.2530923,0.3661708000000001,1.0
4,政府回复非常具体，说明了办理流程和时间安排。,1,0.14704832,0.468101,0.35642314,0.0,1.0,0.5321157000000002
5,我对目前的停车管理非常不满意，收费标准也不透明。,0,0.33711767,0.07658172,0.019651722,0.467794175,0.0,0.0
6,希望相关部门能够调整现有政策，并公开解释申请条件。,1,0.23604839,0.6788424,0.30087492,0.21512097500000002,1.0,0.3771873
7,居民可以一起参与社区治理，我们愿意提供志愿服务。,1,0.30348313,0.3664654,0.7479905,0.383707825,0.582327,1.0
8,工作人员只是简单回复，没有说明解决方案。,0,0.2312975,0.13568276,0.16162306,0.20324375,0.0,0.02905765000000005
9,这个问题已经拖了很久，居民感到非常失望。,0,0.41075063,0.12920246,0.032613333,0.80375315,0.0,0.0
10,街道办给出了明确方案，并承诺下周完成整改。,1,0.14524846,0.40542006,0.22789298,0.0,0.7771003000000001,0.19473245000000003
