case_id,text,dissatisfaction,policy_demand,coproduction_request
L1,居民对停车收费不透明非常不满，认为管理方式不合理。,1,0,0
L2,这个问题已经投诉很多次了，但一直没有得到解决。,1,0,0
L3,小区垃圾分类设施不足，居民对此感到失望。,1,0,0
L4,办理流程反复变化，群众非常不满意。,1,0,0
L5,工作人员回复敷衍，没有说明具体解决方案。,1,0,0
L6,请问申请补贴需要提交哪些材料？,0,1,0
L7,希望政府明确政策执行时间和申请条件。,0,1,0
L8,建议相关部门调整现有政策并公开解释原因。,0,1,0
L9,请说明为什么这个区域暂时不能办理业务。,0,1,0
L10,我们希望街道尽快出台具体整改方案。,0,1,0
L11,我们愿意配合社区开展志愿服务。,0,0,1
L12,居民可以一起参与垃圾分类宣传活动。,0,0,1
L13,我们愿意和街道共同讨论停车管理方案。,0,0,1
L14,社区志愿者可以协助政策宣传和秩序维护。,0,0,1
L15,我们愿意提供场地并协助组织居民会议。,0,0,1
L16,天气很好，今天社区活动正常举行。,0,0,0
L17,工作人员已经电话通知了办理时间。,0,0,0
L18,系统显示申请已经提交成功。,0,0,0
L19,居民收到了普通短信提醒。,0,0,0
L20,社区公告栏更新了本周值班安排。,0,0,0
L21,收费标准不透明，希望政府公开解释依据。,1,1,0
L22,我们对长期拖延不满，并要求尽快整改。,1,1,0
L23,居民愿意参与整改讨论，也希望政策更加清楚。,0,1,1
L24,虽然大家不满，但仍愿意配合街道一起解决问题。,1,0,1
L25,居民投诉设施不足，并愿意参加后续协商会议。,1,0,1
L26,希望明确申请条件，我们也可以协助宣传。,0,1,1
L27,对处理速度不满意，希望公布具体时间表。,1,1,0
L28,我们可以组织志愿者，但需要政府说明流程。,0,1,1
L29,居民不满当前管理方式，也愿意共同提出改进方案。,1,0,1
L30,请尽快解释政策变化，并邀请居民参与讨论。,0,1,1
